country,source,source_line_of_business,standard_line_of_business,lob_group,notes
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TODO RIESGO CONTRATISTA,TODO RIESGO CONTRATISTA,ENGINEERING,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Todo Riesgo Cont.,TODO RIESGO CONTRATISTA,ENGINEERING,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,NAVEGACION Y CASCO,NAVEGACION Y CASCO,MARINE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Nav.yCasco,NAVEGACION Y CASCO,MARINE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,VIDRIOS,VIDRIOS,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Vidrios,VIDRIOS,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,DECENAL,DECENAL,ENGINEERING / CONSTRUCTION,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Decenal,DECENAL,ENGINEERING / CONSTRUCTION,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,BEPS,BEPS,LIFE / SOCIAL SECURITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,BEPS,BEPS,LIFE / SOCIAL SECURITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Accidentes P,ACCIDENTES PERSONALES,PERSONAL ACCIDENT,Fuente disponible en Indicadores de Gestión
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Otros Daños,OTROS DAÑOS,OTHER P&C,Ramo agregado / revisar duplicidad
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Otros Personas,OTROS PERSONAS,OTHER LIFE / HEALTH,Ramo agregado / revisar duplicidad
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total daños,TOTAL DAÑOS,AGGREGATE,No usar en rankings junto con ramos individuales
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total personas,TOTAL PERSONAS,AGGREGATE,No usar en rankings junto con ramos individuales
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total Seguridad Social,TOTAL SEGURIDAD SOCIAL,AGGREGATE,No usar en rankings junto con ramos individuales
