country,source,source_line_of_business,standard_line_of_business,lob_group,notes,source_norm,source_line_of_business_norm,standard_line_of_business_norm
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SUSTRACCION,SUSTRACCION,PROPERTY / THEFT,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,SUSTRACCION,SUSTRACCION
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Sustracción,SUSTRACCION,PROPERTY / THEFT,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,SUSTRACCIÓN,SUSTRACCION
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,DESEMPLEO,DESEMPLEO,PERSONAL LINES,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,DESEMPLEO,DESEMPLEO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Desempleo,DESEMPLEO,PERSONAL LINES,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,DESEMPLEO,DESEMPLEO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,EXEQUIAS,EXEQUIAS,PERSONAL LINES,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,EXEQUIAS,EXEQUIAS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Exequias,EXEQUIAS,PERSONAL LINES,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,EXEQUIAS,EXEQUIAS
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MANEJO,MANEJO,SURETY / FIDELITY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MANEJO,MANEJO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Manejo,MANEJO,SURETY / FIDELITY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MANEJO,MANEJO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CORRIENTE DEBIL,CORRIENTE DEBIL,ENGINEERING,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,CORRIENTE DEBIL,CORRIENTE DEBIL
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Corriente Débil,CORRIENTE DEBIL,ENGINEERING,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,CORRIENTE DÉBIL,CORRIENTE DEBIL
